Super Maison Pokemon

# | Pokemon | Nature | Item | Move | Move | Move | Move | EV Spread
0 | Barbaracle1 | Adamant | BrightPowder | Stone Edge | Razor Shell | Shell Smash | Double Team | Atk/Spd
870 | Glaceon4 | Modest | BrightPowder | Blizzard | Shadow Ball | Signal Beam | Detect | Def/SpA
871 | Lucario4 | Hardy | Weakness Policy | Aura Sphere | Dragon Pulse | Stone Edge | ExtremeSpeed | Atk/Spd/SpA
872 | Hippowdon4 | Sassy | Chesto Berry | Curse | Rest | Earthquake | Crunch | HP/SpD
873 | Probopass4 | Modest | Life Orb | Flash Cannon | Power Gem | Earth Power | Thunderbolt | SpA/SpD
874 | Dusknoir4 | Relaxed | Lum Berry | Shadow Sneak | Pain Split | Destiny Bond | Trick Room | HP/SpD
875 | Mienshao4 | Impish | Muscle Band | Feint | Fake Out | Hi Jump Kick | Wide Guard | HP/Atk
876 | Beartic4 | Jolly | Assault Vest | Icy Wind | Icicle Crash | Rock Slide | Brick Break | Atk/Spd
877 | Bouffalant4 | Adamant | Life Orb | Earthquake | Head Charge | Payback | Protect | HP/Atk
878 | Aggron4 | Brave | Shuca Berry | Metal Burst | Taunt | Earthquake | Shadow Claw | Atk/SpD
879 | Walrein4 | Bold | Lax Incense | Sheer Cold | Fissure | Rest | Sleep Talk | Def/SpD
880 | Mamoswine4 | Adamant | Life Orb | Earthquake | Ice Fang | Double-Edge | Stone Edge | HP/Atk
881 | Lapras4 | Impish | Chesto Berry | Perish Song | Rest | Body Slam | Block | Def/SpD
882 | Crobat4 | Jolly | Wide Lens | Hypnosis | Aerial Ace | Cross Poison | Taunt | Atk/Spd
883 | Magnezone4 | Modest | Assault Vest | Thunderbolt | Flash Cannon | Tri Attack | Volt Switch | SpA/SpD
884 | Rhyperior4 | Brave | Wide Lens | Rock Slide | Hammer Arm | Earthquake | Protect | HP/Atk
885 | Tangrowth4 | Adamant | Lax Incense | Power Whip | Earthquake | Aerial Ace | Brick Break | Atk/Def
886 | Porygon-z4 | Timid | Sitrus Berry | Tri Attack | Thunderbolt | Shadow Ball | Recover | Spd/SpA
887 | Vanilluxe4 | Calm | Maranga Berry | Taunt | Ice Beam | Acid Armor | Mirror Coat | HP/SpD
888 | Eelektross4 | Bold | Leftovers | Charge Beam | Grass Knot | Flamethrower | Protect | HP/SpD
889 | Gyarados4 | Careful | Chesto Berry | Dragon Dance | Aqua Tail | Earthquake | Rest | HP/SpD
890 | Snorlax4 | Careful | Assault Vest | Body Slam | Power-Up Punch | Earthquake | Crunch | HP/SpD
891 | Kingdra4 | Modest | White Herb | Draco Meteor | Surf | Blizzard | Protect | HP/Spd/SpA
892 | Blissey4 | Bold | Chople Berry | Toxic | Minimize | Mud Bomb | Softboiled | Def/SpD
893 | Milotic4 | Impish | Leftovers | Ice Beam | Rest | Sleep Talk | Surf | HP/SpD
894 | Electivire4 | Jolly | Shuca Berry | ThunderPunch | Fire Punch | Ice Punch | Earthquake | Atk/Spd
895 | Magmortar4 | Timid | White Herb | Overheat | Psychic | Focus Blast | Protect | Spd/SpA
896 | Haxorus4 | Jolly | Yache Berry | Dragon Dance | Dragon Claw | Dragon Tail | Earthquake | Atk/Spd
897 | Togekiss4 | Modest | Expert Belt | Aura Sphere | Air Slash | Heat Wave | Dazzling Gleam | Spd/SpA
898 | Volcarona4 | Bold | Leftovers | Hurricane | Quiver Dance | Bug Buzz | Heat Wave | HP/Def
899 | Arcanine4 | Jolly | Sitrus Berry | Close Combat | Flare Blitz | Crunch | ExtremeSpeed | Atk/Spd
900 | Archeops4 | Jolly | Sitrus Berry | Rock Slide | Earthquake | Aerial Ace | Protect | Atk/Spd
901 | Dragonite4 | Adamant | Snowball | Dragon Rush | Iron Tail | ExtremeSpeed | Fire Punch | Atk/Spd
902 | Tyranitar4 | Brave | Focus Sash | Rock Slide | Earthquake | Superpower | Dragon Tail | HP/Atk
903 | Salamence4 | Jolly | Lum Berry | Outrage | Crunch | Earthquake | Zen Headbutt | Atk/Spd
904 | Metagross4 | Careful | Toxic Orb | Trick | Meteor Mash | Protect | Earthquake | HP/SpD
905 | Garchomp4 | Jolly | Focus Sash | Swords Dance | Stone Edge | Earthquake | Dragon Claw | Atk/Spd
906 | Hydreigon4 | Jolly | Roseli Berry | Dragon Rush | Earthquake | Crunch | Dragon Tail | Atk/Spd
907 | Slaking4 | Jolly | Life Orb | Return | Night Slash | Gunk Shot | Aerial Ace | Atk/Spd
908 | Articuno1 | Modest | Icy Rock | Hail | Blizzard | Fly | Roost | HP/SpA
909 | Zapdos1 | Timid | Magnet | Thunderbolt | Signal Beam | Air Cutter | AncientPower | Spd/SpA
910 | Moltres1 | Modest | White Herb | Overheat | Air Slash | Tailwind | Will-O-Wisp | Spd/SpA
911 | Raikou1 | Timid | Shuca Berry | Thunderbolt | Volt Switch | Shadow Ball | Extrasensory | Spd/SpA
912 | Entei1 | Lonely | Focus Sash | Overheat | Flame Charge | Fire Fang | Stone Edge | Atk/Spd
913 | Suicune1 | Bold | Chesto Berry | Calm Mind | Surf | Ice Beam | Rest | HP/Def
914 | Regirock1 | Careful | Leftovers | Sandstorm | Curse | Rock Slide | Drain Punch | HP/SpD
915 | Regice1 | Modest | Sitrus Berry | Thunderbolt | Ice Beam | Focus Blast | Toxic | HP/SpA
916 | Registeel1 | Careful | Chesto Berry | Curse | Amnesia | Iron Head | Rest | HP/SpD
917 | Cobalion1 | Bold | Chesto Berry | Focus Blast | Flash Cannon | Calm Mind | Rest | HP/SpD
918 | Terrakion1 | Jolly | Expert Belt | Close Combat | Earthquake | Stone Edge | Aerial Ace | Atk/Spd
919 | Virizion1 | Jolly | Salac Berry | Sacred Sword | Leaf Blade | Taunt | Stone Edge | Atk/Spd
920 | Tornadus1 | Timid | Life Orb | Hurricane | Grass Knot | Focus Blast | Dark Pulse | Spd/SpA
921 | Thundurus1 | Bold | Chesto Berry | Thunderbolt | Protect | Toxic | Rest | HP/SpD
922 | Latias1 | Bold | Lax Incense | Calm Mind | Mist Ball | Dragon Pulse | Recover | HP/Def
923 | Latios1 | Bold | Lax Incense | Calm Mind | Luster Purge | Dragon Pulse | Recover | HP/Def
924 | Heatran1 | Modest | Focus Sash | Lava Plume | Earth Power | Flash Cannon | Dark Pulse | HP/SpA
925 | Cresselia1 | Bold | Chesto Berry | Calm Mind | Psychic | Shadow Ball | Rest | HP/Def
926 | Landorus1 | Careful | Apicot Berry | Rest | Sleep Talk | Smack Down | Fissure | Def/SpD
927 | Regigigas1 | Adamant | BrightPowder | Confuse Ray | Double Team | Drain Punch | Payback | HP/Atk
928 | Articuno2 | Bold | Lum Berry | Sheer Cold | Mind Reader | Ice Shard | Ice Beam | HP/SpD
929 | Zapdos2 | Bold | BrightPowder | Charge Beam | Heat Wave | Double Team | Roost | HP/SpD
930 | Moltres2 | Naughty | Power Herb | Flame Charge | Sky Attack | Aerial Ace | Fire Blast | Atk/Spd
931 | Raikou2 | Timid | Leftovers | Charge Beam | Magnet Rise | Calm Mind | Shadow Ball | Def/Spd
932 | Entei2 | Bold | Chesto Berry | Calm Mind | Will-O-Wisp | Flamethrower | Rest | HP/Def/SpD
933 | Suicune2 | Modest | Sitrus Berry | Hydro Pump | Ice Beam | Shadow Ball | Mirror Coat | HP/SpA
934 | Regirock2 | Adamant | Custap Berry | Stone Edge | Drain Punch | Earthquake | Explosion | HP/Atk
935 | Regice2 | Timid | Chesto Berry | Thunderbolt | Icy Wind | Ice Beam | Rest | HP/Def/Spd
936 | Registeel2 | Jolly | Kings Rock | Rock Polish | Earthquake | Iron Head | ThunderPunch | Atk/Spd
937 | Cobalion2 | Brave | Maranga Berry | Metal Burst | Sacred Sword | Quick Attack | Iron Head | HP/Atk
938 | Terrakion2 | Adamant | Choice Scarf | Sacred Sword | Earthquake | Stone Edge | Aerial Ace | Atk/Spd
939 | Virizion2 | Timid | Sitrus Berry | Energy Ball | Focus Blast | Calm Mind | Toxic | Def/Spd
940 | Tornadus2 | Modest | Yache Berry | Substitute | Double Team | Focus Blast | Hurricane | HP/SpA
941 | Thundurus2 | Timid | Choice Specs | Thunderbolt | Dark Pulse | Focus Blast | Grass Knot | Spd/SpA
942 | Latias2 | Timid | White Herb | Draco Meteor | Thunder | Psychic | Mist Ball | Spd/SpA
943 | Latios2 | Timid | White Herb | Draco Meteor | Thunderbolt | Psychic | Protect | Spd/SpA
944 | Heatran2 | Modest | White Herb | Overheat | Will-O-Wisp | Flash Cannon | Protect | HP/SpA
945 | Cresselia2 | Bold | Leftovers | Double Team | Moonlight | Toxic | Protect | HP/SpD
946 | Landorus2 | Modest | Choice Scarf | Earth Power | Extrasensory | Focus Blast | Grass Knot | Spd/SpA
947 | Regigigas2 | Quiet | Zoom Lens | Thunder | Toxic | Focus Blast | Confuse Ray | HP/SpA
948 | Articuno3 | Jolly | Charti Berry | Frost Breath | Reflect | Steel Wing | U-turn | Atk/Spd
949 | Zapdos3 | Naive | Petaya Berry | Thunder | Light Screen | Rain Dance | Drill Peck | Spd/SpA
950 | Moltres3 | Timid | Heat Rock | Sunny Day | SolarBeam | Flamethrower | Air Slash | Spd/SpA
951 | Raikou3 | Timid | Air Balloon | Thunderbolt | Volt Switch | Shadow Ball | Protect | Spd/SpA
952 | Entei3 | Timid | Choice Scarf | Eruption | Heat Wave | Extrasensory | SolarBeam | Spd/SpA
953 | Suicune3 | Bold | Leftovers | Surf | Blizzard | Calm Mind | Protect | HP/Def
954 | Regirock3 | Adamant | Luminous Moss | Ice Punch | Rock Slide | Drain Punch | Earthquake | HP/Atk
955 | Regice3 | Bold | Leftovers | Charge Beam | Ice Beam | Amnesia | Protect | HP/Def
956 | Registeel3 | Bold | Leftovers | Amnesia | Iron Defense | Charge Beam | Flash Cannon | HP/SpD
957 | Cobalion3 | Jolly | Lax Incense | Swagger | Substitute | Psych Up | Iron Head | Atk/Spd
958 | Terrakion3 | Jolly | Sitrus Berry | Swords Dance | Sacred Sword | Earthquake | Rock Slide | Atk/Spd
959 | Virizion3 | Jolly | Coba Berry | Leaf Blade | Stone Edge | Sacred Sword | Protect | Atk/Spd
960 | Tornadus3 | Bold | Chesto Berry | Rest | Air Slash | Dark Pulse | Focus Blast | HP/SpD
961 | Thundurus3 | Jolly | Sitrus Berry | Wild Charge | U-turn | Crunch | Sky Drop | Atk/Spd
962 | Latias3 | Timid | Choice Specs | Draco Meteor | Thunderbolt | Psychic | Trick | Spd/SpA
963 | Latios3 | Timid | Choice Specs | Draco Meteor | Thunder | Psychic | Energy Ball | Spd/SpA
964 | Heatran3 | Modest | Shuca Berry | Sunny Day | Fire Blast | SolarBeam | Earth Power | HP/SpA
965 | Cresselia3 | Bold | Lum Berry | Icy Wind | Round | Helping Hand | Swagger | HP/SpD
966 | Landorus3 | Jolly | Smooth Rock | Sandstorm | Earthquake | Rock Slide | Protect | Atk/Spd
967 | Regigigas3 | Adamant | Leftovers | Confuse Ray | Drain Punch | Thunder Wave | Rock Slide | HP/Atk
968 | Articuno4 | Modest | Leftovers | Tailwind | Blizzard | Sky Drop | Protect | Spd/SpA
969 | Zapdos4 | Timid | Lum Berry | Thunderbolt | Volt Switch | Heat Wave | Detect | Spd/SpA
970 | Moltres4 | Timid | Charcoal | Heat Wave | Incinerate | Air Slash | Protect | Spd/SpA
971 | Raikou4 | Timid | Air Balloon | Thunder | Discharge | Reflect | Extrasensory | Spd/SpA
972 | Entei4 | Adamant | Life Orb | Sacred Fire | Iron Head | Stone Edge | Protect | HP/Atk
973 | Suicune4 | Timid | Lum Berry | Icy Wind | Surf | Blizzard | Protect | Spd/SpA
974 | Regirock4 | Jolly | Sitrus Berry | Rock Polish | Rock Slide | Superpower | Explosion | Atk/Spd
975 | Regice4 | Impish | Zoom Lens | Thunder | Blizzard | Focus Blast | Thunder Wave | HP/SpD
976 | Registeel4 | Adamant | Leftovers | Toxic | Double Team | Earthquake | Protect | HP/Atk
977 | Cobalion4 | Jolly | Life Orb | Iron Head | Close Combat | Quick Guard | Protect | Atk/Spd
978 | Terrakion4 | Jolly | Kings Rock | Bulldoze | Rock Slide | Earthquake | Sacred Sword | Atk/Spd
979 | Virizion4 | Impish | Chesto Berry | Leaf Blade | Swords Dance | Sacred Sword | Rest | HP/Def
980 | Tornadus4 | Timid | Damp Rock | Hurricane | Focus Blast | Taunt | Rain Dance | Spd/SpA
981 | Thundurus4 | Timid | Magnet | Discharge | Focus Blast | Volt Switch | Taunt | Spd/SpA
982 | Latias4 | Adamant | Life Orb | Draco Meteor | Earthquake | Hone Claws | Dragon Claw | Atk/Spd
983 | Latios4 | Adamant | Life Orb | Draco Meteor | Earthquake | Dragon Dance | Outrage | Atk/Spd
984 | Heatran4 | Timid | Choice Scarf | Magma Storm | Earth Power | Dragon Pulse | Flash Cannon | Spd/SpA
985 | Cresselia4 | Quiet | Iron Ball | Psychic | Trick | Moonblast | Trick Room | Def/SpA
986 | Landorus4 | Adamant | White Herb | Hammer Arm | Earthquake | Explosion | U-turn | Atk/Def
987 | Regigigas4 | Careful | Leftovers | Wide Guard | Double Team | Confuse Ray | Toxic | HP/Def

Normal Maison Pokemon

# | Pokemon | Nature | Item | Move | Move | Move | Move | EV Spread
0 | Rattata1 | Jolly | Cheri Berry | Super Fang | Bite | Quick Attack | Focus Energy | Atk/Spd
1 | Venipede1 | Impish | Chesto Berry | Venoshock | Struggle Bug | Protect | Toxic | Atk/Def
2 | Pidgey1 | Jolly | Sharp Beak | Air Slash | Quick Attack | Twister | Sand-Attack | Atk/Spd
3 | Bunnelby1 | Adamant | Rawst Berry | Mud-Slap | Super Fang | Double Kick | Agility | Atk/Spd
4 | Honedge1 | Adamant | Persim Berry | Fury Cutter | Shadow Sneak | Aerial Ace | Metal Sound | Atk/Def
5 | Geodude1 | Adamant | Shuca Berry | Smack Down | Bulldoze | Strength | Rock Polish | Atk/Def
6 | Oddish1 | Modest | Big Root | Giga Drain | Double Team | Confide | PoisonPowder | HP/Def/SpD
7 | Cherrim1 | Modest | Persim Berry | Magical Leaf | Helping Hand | Sunny Day | Attract | Spd/SpA
8 | Meditite1 | Lonely | Cheri Berry | Low Sweep | Feint | Confusion | Detect | Atk/Spd
9 | Poochyena1 | Hardy | BlackGlasses | Bite | Incinerate | Scary Face | Snarl | Atk/Spd
10 | Gothorita1 | Calm | Persim Berry | Psybeam | Charge Beam | Fake Tears | Trick Room | SpA/SpD
11 | Solosis1 | Modest | Quick Claw | Psywave | Round | Pain Split | Light Screen | SpA/SpD
12 | Natu1 | Modest | TwistedSpoon | Stored Power | Ominous Wind | Reflect | Double Team | Spd/SpA
13 | Swinub1 | Adamant | Persim Berry | Mud Bomb | Ice Shard | Hail | Protect | Atk/Def
14 | Poliwag1 | Timid | Cheri Berry | BubbleBeam | Round | Hypnosis | Mud Shot | Spd/SpA
15 | Shroomish1 | Modest | Big Root | Giga Drain | Venoshock | Toxic | Leech Seed | HP/SpA
16 | Electrike1 | Jolly | Magnet | Spark | Quick Attack | Thunder Wave | Bite | Atk/Spd
17 | Snubbull1 | Adamant | Pecha Berry | Confide | Rage | Bite | Charm | Atk/Def
18 | Magnemite1 | Modest | Metal Coat | Mirror Shot | Charge Beam | Metal Sound | Reflect | Spd/SpA
19 | Larvitar1 | Adamant | Passho Berry | Rock Slide | Bite | Bulldoze | Scary Face | Atk/Spd
20 | Pansage1 | Jolly | Sitrus Berry | Seed Bomb | Acrobatics | Leer | Grass Knot | Atk/Spd
21 | Pansear1 | Bashful | Passho Berry | Flame Burst | Fury Swipes | Leer | Hone Claws | Atk/Spd
22 | Panpour1 | Modest | Cheri Berry | Scald | Taunt | Water Sport | Leer | Spd/SpA
23 | Duskull1 | Modest | Ganlon Berry | Hex | Will-O-Wisp | Curse | Toxic | Def/SpA
24 | Gastly1 | Timid | Lax Incense | Hypnosis | Confuse Ray | Hex | Taunt | Spd/SpA
25 | Machop1 | Adamant | Payapa Berry | Low Kick | Bulldoze | Retaliate | Scary Face | HP/Atk
26 | Wingull1 | Serious | Sharp Beak | Aerial Ace | Water Pulse | Quick Attack | Supersonic | HP/Spd
27 | Snorunt1 | Jolly | Petaya Berry | Ice Fang | Headbutt | Bite | Hail | Atk/Spd
28 | Pineco1 | Brave | Rocky Helmet | Gyro Ball | Struggle Bug | Iron Defense | Spikes | Atk/Def
29 | Snover1 | Adamant | Occa Berry | Razor Leaf | Ice Shard | Ingrain | Swagger | HP/Atk
30 | Spinarak1 | Adamant | Binding Band | Infestation | Poison Jab | Spider Web | Shadow Sneak | Atk/Def
31 | Chespin1 | Adamant | Sitrus Berry | Vine Whip | Tackle | Pin Missile | Rock Smash | Atk/Def
32 | Fennekin1 | Modest | Charcoal | Fire Spin | Psybeam | Will-O-Wisp | Lucky Chant | Spd/SpA
33 | Froakie1 | Hasty | Wacan Berry | Quick Attack | Water Pulse | Round | U-turn | Spd/SpA
34 | Flabebe1 | Docile | Miracle Seed | Fairy Wind | Razor Leaf | Round | Wish | Atk/SpA
35 | Bronzor1 | Modest | Rawst Berry | Psywave | Charge Beam | Metal Sound | Confuse Ray | Spd/SpA/SpD
36 | Litleo1 | Adamant | Persim Berry | Fire Fang | Headbutt | Retaliate | Roar | Atk/Spd
37 | Ledyba1 | Modest | SilverPowder | Swift | Silver Wind | Baton Pass | Double Team | Spd/SpA
38 | Joltik1 | Jolly | Liechi Berry | Electroweb | Bug Bite | String Shot | Gastro Acid | Atk/Spd
39 | Gible1 | Adamant | Dragon Fang | Twister | Sandstorm | Sand Tomb | Rock Tomb | Atk/Spd
40 | Skorupi1 | Jolly | Poison Barb | Bug Bite | Poison Fang | Aerial Ace | Leer | Atk/Spd
41 | Shinx1 | Jolly | Razor Fang | Bite | Spark | Thunder Wave | Baby-Doll Eyes | Atk/Spd
42 | Baltoy1 | Quiet | Rindo Berry | AncientPower | Psybeam | Cosmic Power | Trick Room | SpA/SpD
43 | Grimer1 | Modest | Payapa Berry | Sludge | Mud-Slap | Incinerate | Minimize | SpA/SpD
44 | Stunky1 | Modest | BlackGlasses | Snarl | Incinerate | Acid Spray | Torment | HP/SpA
45 | Phantump1 | Adamant | Sitrus Berry | Ingrain | Shadow Claw | Grass Knot | Leech Seed | HP/Atk
46 | Frillish1 | Calm | Sitrus Berry | BubbleBeam | Night Shade | Attract | Flash | SpA/SpD
47 | Espurr1 | Modest | Persim Berry | Psybeam | Fake Out | Thunder Wave | Round | Spd/SpA
48 | Pawniard1 | Impish | Chople Berry | Faint Attack | Metal Claw | Torment | Iron Defense | Atk/Def
49 | Pancham1 | Adamant | Sitrus Berry | Comet Punch | Karate Chop | Swagger | Leer | Atk/Def
50 | Fletchinder1 | Jolly | Sharp Beak | Aerial Ace | Flame Charge | U-turn | Agility | Atk/Spd
51 | Carvanha1 | Adamant | Mystic Water | Aqua Jet | Bite | Swagger | Screech | Atk/Spd
52 | Omanyte1 | Bold | Shell Bell | Brine | AncientPower | Protect | Shell Smash | Def/SpD
53 | Staravia1 | Adamant | Cheri Berry | Aerial Ace | Quick Attack | Whirlwind | Steel Wing | Atk/Spd
54 | Kricketune1 | Adamant | Coba Berry | Sing | Fell Stinger | Screech | Slash | Atk/Spd
55 | Houndour1 | Adamant | Chesto Berry | Fire Fang | Bite | Payback | Howl | Atk/Spd
56 | Drowzee1 | Modest | Focus Band | Psybeam | Hypnosis | Round | Light Screen | Spd/SpA
57 | Lampent1 | Modest | Absorb Bulb | Flame Burst | Hex | Confuse Ray | Will-O-Wisp | HP/SpA
58 | Hoothoot1 | Modest | Cheri Berry | Hypnosis | Reflect | Confusion | Echoed Voice | SpA/SpD
59 | Glameow1 | Adamant | Silk Scarf | Fury Swipes | Attract | Faint Attack | Torment | Atk/Spd
60 | Skiploom1 | Adamant | Occa Berry | Bullet Seed | Acrobatics | Stun Spore | Fairy Wind | Atk/Spd
61 | Marill1 | Timid | Rindo Berry | Round | BubbleBeam | Helping Hand | Aqua Ring | HP/Spd
62 | Boldore1 | Adamant | Rocky Helmet | Smack Down | Headbutt | Sand-Attack | Iron Defense | Atk/Def
63 | Kirlia1 | Mild | Tanga Berry | Confusion | Magical Leaf | Charge Beam | Charm | Spd/SpA
64 | Spheal1 | Careful | Pecha Berry | Defense Curl | Ice Ball | Encore | Bulldoze | Atk/SpD
65 | Cranidos1 | Adamant | Sitrus Berry | Rock Slide | Headbutt | Assurance | Scary Face | Atk/Spd
66 | Rattata2 | Jolly | Razor Fang | Hyper Fang | U-turn | Crunch | Wild Charge | Atk/Spd
67 | Venipede2 | Impish | Poison Barb | Sludge Bomb | Steamroller | Payback | Screech | Atk/Def
68 | Pidgey2 | Jolly | Scope Lens | Fly | Facade | Steel Wing | FeatherDance | Atk/Spd
69 | Bunnelby2 | Adamant | Silk Scarf | Return | Grass Knot | Dig | Bounce | Atk/Spd
70 | Honedge2 | Adamant | Quick Claw | Iron Head | Swords Dance | Night Slash | Slash | Atk/Def
71 | Geodude2 | Adamant | Smooth Rock | Stone Edge | Earthquake | Protect | Sandstorm | Atk/Def
72 | Oddish2 | Bold | Big Root | Giga Drain | Substitute | Toxic | Protect | Def/SpD
73 | Cherrim2 | Modest | Rose Incense | Energy Ball | Round | Dazzling Gleam | Sunny Day | Spd/SpA
74 | Meditite2 | Lonely | Muscle Band | Hi Jump Kick | Psyshock | Rock Slide | Grass Knot | Atk/Spd
75 | Poochyena2 | Adamant | Razor Fang | Sucker Punch | Crunch | Dig | Frustration | Atk/Spd
76 | Gothorita2 | Calm | Colbur Berry | Psychic | Thunderbolt | Heal Block | Trick Room | SpA/SpD
77 | Solosis2 | Modest | Sitrus Berry | Psychic | Shadow Ball | Recover | Wonder Room | SpA/SpD
78 | Natu2 | Modest | Wise Glasses | Psychic | Dazzling Gleam | Shadow Ball | Calm Mind | Spd/SpA
79 | Swinub2 | Hardy | NeverMeltIce | Earthquake | Blizzard | Rock Slide | Hail | Atk/Spd/SpA
80 | Poliwag2 | Timid | Damp Rock | Surf | Ice Beam | Mud Bomb | Rain Dance | Spd/SpA
81 | Shroomish2 | Jolly | BrightPowder | Seed Bomb | Return | Flash | Spore | Atk/Spd
82 | Electrike2 | Modest | Air Balloon | Discharge | Leer | Snarl | Light Screen | Spd/SpA
83 | Snubbull2 | Jolly | Kings Rock | Ice Fang | Fire Fang | Thunder Fang | Play Rough | Atk/Spd
84 | Magnemite2 | Modest | Light Clay | Thunderbolt | Flash Cannon | Reflect | Light Screen | Def/SpA
85 | Larvitar2 | Adamant | Hard Stone | Stone Edge | Crunch | Power-Up Punch | Thrash | Atk/Spd
86 | Pansage2 | Jolly | Salac Berry | Seed Bomb | Crunch | Acrobatics | Torment | Atk/Spd
87 | Pansear2 | Jolly | Liechi Berry | Flame Charge | Shadow Claw | Acrobatics | Yawn | Atk/Spd
88 | Panpour2 | Adamant | Shell Bell | Waterfall | Acrobatics | Crunch | Taunt | Atk/Spd
89 | Duskull2 | Bold | Spell Tag | Shadow Ball | Psychic | Infestation | Will-O-Wisp | Def/SpA
90 | Gastly2 | Timid | Spell Tag | Shadow Ball | Sucker Punch | Curse | Protect | Spd/SpA
91 | Machop2 | Adamant | Black Belt | Cross Chop | Revenge | Earthquake | Bulk Up | HP/Atk
92 | Wingull2 | Modest | Wacan Berry | Air Slash | Scald | Ice Beam | Roost | HP/SpA
93 | Snorunt2 | Modest | Icy Rock | Ice Beam | Shadow Ball | Protect | Hail | SpA/SpD
94 | Pineco2 | Impish | Rocky Helmet | Toxic | Venoshock | Payback | Bug Bite | Atk/Def
95 | Snover2 | Modest | Expert Belt | Ice Beam | Shadow Ball | Energy Ball | Round | SpA/SpD
96 | Spinarak2 | Adamant | Coba Berry | Pin Missile | Cross Poison | Sticky Web | Sucker Punch | Atk/Def
97 | Chespin2 | Adamant | Miracle Seed | Seed Bomb | Body Slam | Power-Up Punch | Bulk Up | Atk/SpD
98 | Fennekin2 | Modest | Passho Berry | Flamethrower | Psychic | Will-O-Wisp | Sunny Day | Spd/SpA
99 | Froakie2 | Adamant | Rindo Berry | Waterfall | Acrobatics | Grass Knot | Quick Attack | Atk/Spd
100 | Flabebe2 | Modest | Babiri Berry | Dazzling Gleam | Energy Ball | Psychic | Safeguard | Spd/SpA
101 | Bronzor2 | Modest | Salac Berry | Extrasensory | Flash Cannon | Payback | Bulldoze | SpA/SpD
102 | Litleo2 | Modest | Heat Rock | Flamethrower | Snarl | Hyper Voice | Sunny Day | Spd/SpA
103 | Ledyba2 | Adamant | Charti Berry | Mach Punch | U-turn | Acrobatics | Swords Dance | Atk/Spd
104 | Joltik2 | Timid | Salac Berry | Signal Beam | Electro Ball | Energy Ball | Agility | Spd/SpA
105 | Gible2 | Adamant | Yache Berry | Dragon Claw | Bulldoze | Aerial Ace | Shadow Claw | Atk/Spd
106 | Skorupi2 | Adamant | Razor Claw | X-Scissor | Swords Dance | Cross Poison | Night Slash | Atk/Spd
107 | Shinx2 | Adamant | Magnet | Wild Charge | Crunch | Thunder Wave | Roar | Atk/Spd
108 | Baltoy2 | Modest | Quick Claw | Extrasensory | Earth Power | Charge Beam | Power Split | SpA/SpD
109 | Grimer2 | Calm | Black Sludge | Sludge Bomb | Confide | Acid Armor | Flamethrower | SpA/SpD
110 | Stunky2 | Adamant | Scope Lens | Slash | Night Slash | Shadow Claw | Feint | Atk/Spd
111 | Phantump2 | Adamant | Kasib Berry | Faint Attack | Horn Leech | Rock Slide | Poison Jab | Atk/SpD
112 | Frillish2 | Calm | Shell Bell | Surf | Shadow Ball | Psychic | Recover | SpA/SpD
113 | Espurr2 | Modest | TwistedSpoon | Psychic | Thunderbolt | Energy Ball | Psyshock | Spd/SpA
114 | Pawniard2 | Impish | BlackGlasses | Iron Head | Night Slash | Aerial Ace | Swords Dance | Atk/Def
115 | Pancham2 | Adamant | BlackGlasses | Power-Up Punch | Crunch | Shadow Claw | Rock Slide | Atk/Def
116 | Fletchinder2 | Adamant | Kings Rock | Flame Charge | Quick Attack | Steel Wing | Fly | Atk/Spd
117 | Carvanha2 | Jolly | Chople Berry | Crunch | Waterfall | Aqua Jet | Ice Fang | Atk/Spd
118 | Omanyte2 | Modest | Rindo Berry | Ice Beam | Rock Blast | Mud Shot | Surf | Def/SpA
119 | Staravia2 | Jolly | Liechi Berry | Endeavor | Aerial Ace | Facade | Quick Attack | Atk/Spd
120 | Kricketune2 | Calm | Sitrus Berry | Bide | Bug Buzz | Taunt | Round | Def/SpD
121 | Houndour2 | Modest | Charti Berry | Foul Play | Flamethrower | Dark Pulse | Nasty Plot | Spd/SpA
122 | Drowzee2 | Adamant | TwistedSpoon | Zen Headbutt | Power-Up Punch | Hypnosis | Headbutt | Atk/Spd
123 | Lampent2 | Modest | Absorb Bulb | Inferno | Shadow Ball | Confuse Ray | Curse | HP/SpA
124 | Hoothoot2 | Timid | Yache Berry | Air Slash | Shadow Ball | Hypnosis | Dream Eater | Spd/SpA
125 | Glameow2 | Adamant | Razor Claw | Slash | Shadow Claw | U-turn | Fake Out | Atk/Spd
126 | Skiploom2 | Modest | Charti Berry | Energy Ball | Round | Fairy Wind | Dazzling Gleam | Spd/SpA
127 | Marill2 | Adamant | Muscle Band | Aqua Tail | Brick Break | Strength | Aqua Ring | HP/Atk
128 | Boldore2 | Adamant | Air Balloon | Rock Blast | Bulldoze | Stealth Rock | Sandstorm | Atk/Def
129 | Kirlia2 | Modest | TwistedSpoon | Psyshock | Psychic | Thunderbolt | Dazzling Gleam | Spd/SpA
130 | Spheal2 | Adamant | Icy Rock | Frost Breath | Waterfall | Double Team | Hail | HP/Atk
131 | Cranidos2 | Modest | Petaya Berry | AncientPower | Flamethrower | Ice Beam | Thunderbolt | Spd/SpA
132 | Gurdurr1 | Adamant | Zoom Lens | DynamicPunch | Poison Jab | Smack Down | Mach Punch | Atk/Def
